coreid	identifier	format	accessURI	rights	owner	creator	type	idigbio_recordSetID
cd721ae2-9de5-4845-8e77-7d4326373185	urn:uuid:82b36034-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094274 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
5814e00f-b987-4867-ae60-ecc440de934d	urn:uuid:82b36160-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094276.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
f345ab36-df10-4286-bad2-d53f94359f89	urn:uuid:82e31c2a-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094281 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
ac85012e-f060-42f8-8072-a3009ef0e536	urn:uuid:82b36674-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094282 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
22076147-3e3d-45e2-8e6e-c43d30b08d2e	urn:uuid:826a1a5a-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094289 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	Universidad Nacional Autónoma de Mexico, Instituto de Biologia	Universidad Nacional Autónoma de Mexico, Instituto de Biologia	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
0b040226-32b1-4f92-b59d-296a1153d08e	urn:uuid:82b36e62-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094295 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
6fd1d020-0bd3-4486-befe-391d3f9fb70b	urn:uuid:8269cbf4-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094297 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
9d23100f-f216-46de-b1ec-e66ffb255d66	urn:uuid:82b36f84-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094298 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
5aabf53f-8715-421c-a5da-6ea0739c8a01	urn:uuid:82b3701a-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094299 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
3b3de602-1975-4cf1-9392-61a82f68a478	urn:uuid:82b370b0-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094300 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
