coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,associatedSpecimenReference,type,subtype,format,metadataLanguage
1043984,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038028_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038028_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038028_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038028_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:79f71151-2b7b-491b-be66-cba8ab1e930c,"2014-04-10 16:27:18",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=1043984,StillImage,Photograph,image/jpeg,en
1043997,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038029_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038029_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038029_habitus_dor_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038029_habitus_dor.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, dorsal",,urn:uuid:a87e78bc-6e73-4c8f-8ab6-400de6c0bf49,"2014-04-10 16:29:58",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=1043997,StillImage,Photograph,image/jpeg,en
1043997,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038029_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038029_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038029_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038029_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:51859fa9-8cf1-4147-b4a3-1253e4f8fdc7,"2014-04-10 16:30:44",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=1043997,StillImage,Photograph,image/jpeg,en
800100,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017255_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017255_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017255_habitus_dor_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017255_habitus_dor.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, dorsal",,urn:uuid:6a5b08d9-bdff-4bb9-8fdc-c7eb56cdee36,"2014-04-10 17:58:07",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800100,StillImage,Photograph,image/jpeg,en
800100,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017255_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017255_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017255_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017255_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:1f8905fc-ad5f-436e-b190-fe02caae77b9,"2014-04-10 18:03:17",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800100,StillImage,Photograph,image/jpeg,en
800111,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017260_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017260_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017260_habitus_dor_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017260_habitus_dor.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, dorsal",,urn:uuid:ad147660-91dd-4dfa-a6c4-9f778dc3ecda,"2014-04-10 18:04:02",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800111,StillImage,Photograph,image/jpeg,en
800111,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017260_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017260_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017260_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017260_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:94269082-54c4-4bb0-8b51-49ddab992344,"2014-04-10 18:04:22",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800111,StillImage,Photograph,image/jpeg,en
800224,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017271_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017271_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017271_habitus_dor_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017271_habitus_dor.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, dorsal",,urn:uuid:8e173fd4-43d6-4a0e-b2e0-50943b204c54,"2014-04-11 21:38:01",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800224,StillImage,Photograph,image/jpeg,en
800224,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017271_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017271_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017271_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017271_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:0e1a8ada-769e-4129-963a-9ac43997c4b3,"2014-04-11 21:48:35",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800224,StillImage,Photograph,image/jpeg,en
800259,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017273_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017273_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017273_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017273_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:9c2fcb5c-bed3-4825-a7ec-4116c18d1c8d,"2014-04-11 22:16:41",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800259,StillImage,Photograph,image/jpeg,en
